,School Name,BD,Region,"Before SchoolGrant Program",After School Grant Program,Youth Services
,MONTAGUE CHARTER AAS,6,North,Ready-Set-Go!,LA's Best,
,MONTARA AVE EL,5,East,,Youth Development Program,Youth Services
,MONTE VISTA ST EL,2,East,,LA's Best,Youth Services
,MOORE M/S/T ACAD,7,South,,Keep Youth Doing Something,Youth Services
,MORNINGSIDE EL,6,North,,A World Fit For Kids!,Youth Services
,MOSK EL,4,North,,LA's Best,Youth Services
,MOUNT WASHINGTON EL,5,East,,STAR Education,Youth Services
,MOUNTAIN VIEW EL,6,North,,Woodcraft Rangers,Youth Services
,MUIR MS,1,South,,Boys & Girls Clubs of Carson,Youth Services
,MULHOLLAND MS,3,North,,After School All Stars,Youth Services
,MULTNOMAH ST EL,2,East,,Youth Development Program,Youth Services
,MURCHISON ST EL,2,East,,LA's Best,Youth Services
,NAPA ST EL,3,North,Ready-Set-Go!,LA's Best,Youth Services
,NARBONNE SH,7,South,,Boys & Girls Clubs of LA Harbor,
,NAVA COLLEGE PREP,5,East,,UCLA,
,NAVA LEARNING ACADEMY,5,East,,YS PLUS,Youth Services
,NESTLE AVE CHARTER,4,North,,LA's Best,Youth Services
,NEVADA AVE EL,3,North,,Woodcraft Rangers,Youth Services
,NEVIN AVE EL,5,East,,Youth Development Program,Youth Services
,NEWCASTLE EL,4,North,,L.A. Conservation Corps,Youth Services
,NIGHTINGALE MS,2,East,,L.A. Conservation Corps,Youth Services
,NIMITZ MS,5,East,,Woodcraft Rangers,Youth Services
,NOBEL CMS,3,North,,Woodcraft Rangers,Youth Services
,NOBLE AVE EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,NORMANDIE AVE EL,1,South,,L.A. Conservation Corps,Youth Services
,NORMONT EL,7,South,,LA's Best,Youth Services
,NORTH HOLLYWOOD SH,3,North,,EduCare Foundation,
,NORTHRIDGE MS,3,North,,Keep Youth Doing Something,Youth Services
,NORWOOD ST EL,5,South,Ready-Set-Go!,A World Fit For Kids!,Youth Services
,NUEVA VISTA EL,5,East,,Youth Development Program,Youth Services
,O'MELVENY EL,6,North,,Youth Development Program,Youth Services
,OBAMA EL,6,North,,LA's Best,Youth Services
,OBAMA GLBL PREP ACAD,1,South,,YS PLUS,Youth Services
,OCHOA LC,5,East,,YS PLUS,Youth Services
,OLIVE VISTA MS,6,North,,L.A. Conservation Corps,Youth Services
,OLYMPIC PC,2,East,,Youth Development Program,
,OPEN CHARTER MAGNET,4,West,,STAR Education,Youth Services
,ORCHARD ACADEMIES 2B,5,East,,YS PLUS,Youth Services
,ORCHARD ACADEMIES 2C,5,East,,YS PLUS,Youth Services
,OSCEOLA ST EL,6,North,,LA's Best,Youth Services
,OVERLAND AVE EL,1,West,,tbd,Youth Services
,OXNARD ST EL,6,North,,LA's Best,Youth Services
,PACIFIC BLVD SCHOOL,5,East,,Woodcraft Rangers,Youth Services
,PACOIMA CEL,6,North,Ready-Set-Go!,LA's Best,
,PACOIMA MS,6,North,,L.A. Conservation Corps,Youth Services
,PALISADES CEL,4,West,,STAR Education,Youth Services
,PALMS EL,1,West,,Youth Development Program,Youth Services
,PALMS MS,1,West,,Team Prime Time,Youth Services
,PANORAMA CITY EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,PANORAMA SH,6,North,,EduCare Foundation,
,PARK AVE EL,5,East,,Youth Development Program,Youth Services
,PARK WESTERN PL EL,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,PARKS LC,6,North,,LA's Best,Youth Services
,PARMELEE AVE EL,7,South,Ready-Set-Go!,Youth Development Program,Youth Services
,PASEO DEL REY EL,4,West,,STAR Education,Youth Services
,PEARY MS,7,South,,L.A. Conservation Corps,Youth Services
,PINEWOOD AVE EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,PIO PICO MS,1,West,,YS PLUS,Youth Services
,PLAINVIEW ACADEMIC CA,6,North,,Woodcraft Rangers,Youth Services
,PLASENCIA EL,2,East,,A World Fit For Kids!,Youth Services
,PLAYA DEL REY EL,4,West,,Youth Development Program,Youth Services
,PLAYA VISTA EL,4,West,,STAR Education,Youth Services
,PLUMMER EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,POINDEXTER LAMOTTE EL,1,South,,LA's Best,Youth Services
,POINT FERMIN EL MR/S MG,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,POLITI EL,2,West,Ready-Set-Go!,LA's Best,Youth Services
,POLYTECHNIC SH,6,North,,Keep Youth Doing Something,
,POMELO COMMUNITY CS,3,North,,LA's Best,Youth Services
,PORTER MS,3,North,,After School All Stars,Youth Services
,PORTER RANCH SCHOOL,3,North,,,Youth Services
,PORTOLA CM,4,North,,YS PLUS,Youth Services
,PRESIDENT AVE EL,7,South,,Youth Development Program,Youth Services
,PRIMARY ACADEMY,6,North,,LA's Best,
,PURCHE AVE EL,7,South,,Youth Development Program,Youth Services
,QUEEN ANNE PL EL,1,West,,Youth Development Program,Youth Services
,RAMONA EL,5,West,,LA's Best,Youth Services
,RANCHITO AVE EL,6,North,,Youth Development Program,Youth Services
,RANCHO DOMINGUEZ PREP (MS),7,South,,Boys & Girls Clubs of Carson,Youth Services
,RAYMOND AVE EL,1,South,,LA's Best,Youth Services
,REED MS,3,North,,YS PLUS,Youth Services
,RESEDA CHARTER SH (MS),4,North,,After School All Stars,Youth Services
,RESEDA CHARTER HS,4,North,,ARC,
,RESEDA EL,4,North,,Boys & Girls Clubs of Carson,Youth Services
,REVERE CMS,4,West,,,Youth Services
,RFK AMBSDR GLBL EDUCATION,5,West,,Youth Development Program,Youth Services
,RFK AMBSDR GLBL LEADERSHIP (MS),5,West,,YS PLUS,Youth Services
,RFK AMBSDR GLBL LEADERSHIP (HS),5,West,,EduCare Foundation,
,RFK LA SH ARTS,5,West,,EduCare Foundation,
,RFK NEW OPEN WORLD (EL/MS),5,West,,Woodcraft Rangers,Youth Services
,RFK NEW OPEN WORLD (HS),5,West,,EduCare Foundation,
,RFK SCHOOL VIS ARTS/HUM,5,West,,EduCare Foundation,
,RFK UCLA COMM SCH (EL/MS),5,West,,UCLA,Youth Services
,RICHLAND AVE EL,4,West,,STAR Education,Youth Services
,RIDE EL SMART ACAD,5,East,,LA's Best,Youth Services
,RIO VISTA EL,6,North,,LA's Best,Youth Services
,RIORDAN PC,2,East,,LA's Best,
,RITTER EL,7,South,,Woodcraft Rangers,Youth Services
,RIVERA LC COM & TECH,7,South,,EduCare Foundation,
,RIVERA LC GD STEAM AC,7,South,,EduCare Foundation,
,RIVERSIDE DR CS,3,North,,Team Prime Time,Youth Services
,ROCKDALE VAPA MAGNET,5,East,,Youth Development Program,Youth Services
,ROMER MS,6,North,,YS PLUS,Youth Services
,ROSCOE EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,ROSCOMARE RD EL,4,West,,STAR Education,Youth Services
,ROSEMONT AVE EL,2,East,,LA's Best,Youth Services
,ROSEWOOD UP/UD MAGNET,4,West,,LA's Best,Youth Services
,ROWAN AVE EL,2,East,,Youth Development Program,Youth Services
,ROYBAL LC,2,East,,ARC,
,ROYBAL-ALLARD EL,5,East,,A World Fit For Kids!,Youth Services
,RUSSELL EL,7,South,,Youth Development Program,Youth Services
,SAN ANTONIO EL,5,East,,Woodcraft Rangers,Youth Services
,SAN FERNANDO EL,6,North,Ready-Set-Go!,Youth Development Program,Youth Services
,SAN FERNANDO MS,6,North,,YS PLUS,Youth Services
,SAN FERNANDO MS IAM,6,North,Ready-Set-Go!,EduCare Foundation,Youth Services
,SAN FERNANDO SH,6,North,,EduCare Foundation,
,SAN GABRIEL AVE EL,5,East,,Woodcraft Rangers,Youth Services
,SAN JOSE ST EL,6,North,,L.A. Conservation Corps,Youth Services
,SAN MIGUEL EL,5,East,,Woodcraft Rangers,Youth Services
,SAN PASCUAL STEAM MAGNET,2,East,,LA's Best,Youth Services
,SAN PEDRO SH,7,South,,Boys & Girls Clubs of LA Harbor,
,SAN PEDRO ST EL,5,East,,Youth Development Program,Youth Services
,SANTA MONICA BLVD CO,5,West,,LA's Best,
,SANTANA ART AC,6,North,,Youth Development Program,Youth Services
,SANTEE EC,5,East,,A World Fit For Kids!,
,SATICOY EL,6,North,,LA's Best,Youth Services
,SATURN ST EL,1,West,,LA's Best,Youth Services
,SCIENCE ACADEMY STEM MAGNET,6,North,,Keep Youth Doing Something,Youth Services
,SENDAK EL,6,North,,LA's Best,Youth Services
,SEPULVEDA MS,6,North,,YS PLUS,Youth Services
,SERRANIA AVE CES,4,North,,Keep Youth Doing Something,Youth Services
,SHARP AVE EL,6,North,,Woodcraft Rangers,Youth Services
,SHENANDOAH ST EL,1,West,Ready-Set-Go!,LA's Best,Youth Services
,SHERIDAN ST EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
,SHERMAN OAKS EL CS,3,North,,Keep Youth Doing Something,Youth Services
,SHIRLEY AVE EL,4,North,,Youth Development Program,Youth Services
,SHORT AVE EL,4,West,,After School All Stars,Youth Services
,SIERRA PARK EL,2,East,,LA's Best,Youth Services
,SIERRA VISTA EL,2,East,,Youth Development Program,Youth Services
,SOCES MAGNET,4,North,,Keep Youth Doing Something,Youth Services
,SOLANO AVE EL,2,East,,Youth Development Program,Youth Services
,SOTO ST EL,2,East,,STAR Education,Youth Services
,SOTOMAYOR ART/SCI MAGNET (MS),5,West,,LACER,Youth Services
,SOTOMAYOR ART/SCI MAGNET (HS),5,West,,UCLA,
,SOUTH EAST SH,5,East,,Woodcraft Rangers,
,SOUTH GATE MS,5,East,,Woodcraft Rangers,Youth Services
,SOUTH GATE SH,5,East,,ARC,
,SOUTH PARK EL,7,South,Ready-Set-Go!,LA's Best,Youth Services
,SOUTH SHORES EL PA MAGNET,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,SOUTHEAST MS,5,East,,After School All Stars,Youth Services
,STAGG ST EL,3,North,,LA's Best,Youth Services
,STANFORD AVE PC,5,East,,LA's Best,
,STATE ST EL,5,East,,Woodcraft Rangers,Youth Services
,STERRY EL,4,West,,STAR Education,Youth Services
,STEVENSON CCP,2,East,,L.A. Conservation Corps,Youth Services
,STONEHURST STEAM MAGNET,6,North,,LA's Best,Youth Services
,STONER AVE EL,4,West,,LA's Best,Youth Services
,STRATHERN ST EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,SUN VALLEY MAGNET ET,6,North,,YS PLUS,Youth Services
,SUN VALLEY MAGNET BSEL (HS),6,North,,EduCare Foundation,
,SUNLAND EL,6,North,,Woodcraft Rangers,Youth Services
,SUNNY BRAE AVE EL,3,North,Ready-Set-Go!,LA's Best,Youth Services
,SUNRISE EL,2,East,,LA's Best,Youth Services
,SUPERIOR ST EL,3,North,,Keep Youth Doing Something,Youth Services
,SUTTER MS,4,North,,YS PLUS,Youth Services
,SYLMAR ACAD BH/E MAGNET,6,North,,EduCare Foundation,
,SYLMAR CHS,6,North,,EduCare Foundation,
,SYLMAR EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,SYLMAR LEADERSHIP ACAD,6,North,,LA's Best,Youth Services
,SYLVAN PARK EL,3,North,Ready-Set-Go!,LA's Best,Youth Services
,TAPER AVE EL,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,TARZANA EL,4,North,,Youth Development Program,Youth Services
,TELFAIR AVE EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,TOLAND WAY EL,5,East,,LA's Best,Youth Services
,TOLUCA LAKE EL,6,North,,Youth Development Program,Youth Services
,TOPANGA EL CS,4,West,,LA's Best,Youth Services
,TOPEKA DR CAS,3,North,,tbd,Youth Services
,TORRES ELA PA MAGNET,2,East,,EduCare Foundation,
,TORRES ENG & TECH,2,East,,EduCare Foundation,
,TORRES HS SJLA MAGNET,2,East,,EduCare Foundation,
,TORRES HUM/ART/TECH,2,East,,EduCare Foundation,
,TORRES RENAISSANCE,2,East,,EduCare Foundation,
,TOWNE AVE EL,7,South,,Boys & Girls Clubs of Carson,Youth Services
,TRINITY ST EL,5,East,,LA's Best,Youth Services
,TULSA ST EL,3,North,,Youth Development Program,Youth Services
,TWEEDY EL,5,East,,Youth Development Program,Youth Services
,UNION AVE EL,2,East,,Youth Development Program,Youth Services
,UNIVERSITY HS CHARTER,4,West,,UCLA,
,UTAH ST EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
,VALERIO ST EL,6,North,Ready-Set-Go!,Youth Development Program,Youth Services
,VALLEY VIEW EL,3,West,,LA's Best,Youth Services
,VAN DEENE AVE EL,7,South,,Youth Development Program,Youth Services
,VAN GOGH CHARTER,3,North,,Keep Youth Doing Something,Youth Services
,VAN NESS AVE EL,4,West,,Boys & Girls Clubs of Carson,Youth Services
,VAN NUYS EL,3,North,Ready-Set-Go!,LA's Best,Youth Services
,VAN NUYS MS,3,North,,YS PLUS,Youth Services
,VAN NUYS SH,3,North,,EduCare Foundation,
,VANALDEN AVE EL,4,North,,Youth Development Program,Youth Services
,VENA AVE EL,6,North,,LA's Best,Youth Services
,VERDUGO HILLS SH,6,North,,EduCare Foundation,
,VERMONT AVE EL,1,South,Ready-Set-Go!,Youth Development Program,Youth Services
,VERNON CITY EL,5,East,Ready-Set-Go!,Woodcraft Rangers,Youth Services
,VICTORIA AVE EL,5,East,,Youth Development Program,Youth Services
,VICTORY BLVD EL,6,North,,LA's Best,Youth Services
,VINE ST EL,4,West,,LA's Best,Youth Services
,VINEDALE COLLEGE PREP,6,North,Ready-Set-Go!,LA's Best,Youth Services
,VINTAGE EL M/S/T MAGNET,3,North,,Youth Development Program,Youth Services
,VIRGIL MS,2,East,,A World Fit For Kids! / Bresee Foundation,Youth Services
,VIRGINIA RD EL,1,West,,Kids 4 College,Youth Services
,VISTA DEL VALLE ACAD,6,North,,Youth Development Program,Youth Services
,VISTA MS,6,North,,YS PLUS,Youth Services
,VOCES MAGNET (MS),6,North,,EduCare Foundation,Youth Services
,VOCES MAGNET (HS),6,North,,EduCare Foundation,
,WADSWORTH AVE EL,5,East,Ready-Set-Go!,Youth Development Program,Youth Services
,WALGROVE AVE EL,4,West,,STAR Education,Youth Services
,WALNUT PARK EL,5,East,,Youth Development Program,Youth Services
,WALNUT PARK MS SJ/SL,5,East,,Woodcraft Rangers,Youth Services
,WALNUT PARK MS STEM,5,East,,EduCare Foundation,Youth Services
,WARNER AVE EL,4,West,,STAR Education,Youth Services
,WASHINGTON PC,1,South,,LA's Best,
,WASHINGTON PREP SH,1,South,,EduCare Foundation,
,WEBSTER MS,4,West,,Team Prime Time,Youth Services
,WEEMES EL,1,South,,Youth Development Program,Youth Services
,WEIGAND AVE EL,7,South,,LA's Best,Youth Services
,WELBY WAY CEL,3,North,,Keep Youth Doing Something,Youth Services
,WEST ADAMS PREP SH,5,West,,Woodcraft Rangers,
,WEST ATHENS EL,1,South,,Youth Development Program,Youth Services
,WEST HOLLYWOOD EL,4,West,,LA's Best,Youth Services
,WEST VERNON AVE EL,5,East,Ready-Set-Go!,LA's Best,Youth Services
,WESTERN AVE TECH MAGNET,1,South,,L.A. Conservation Corps,Youth Services
,WESTMINSTER MTES MAGNET,4,West,,Team Prime Time,Youth Services
,WESTPORT HEIGHTS EL,4,West,,Kids 4 College,Youth Services
,WESTSIDE GLOBAL AWR MAGNET,4,West,,Team Prime Time,Youth Services
,WESTWOOD CEL,4,West,,STAR Education,Youth Services
,WHITE EL,2,East,Ready-Set-Go!,Youth Development Program,Youth Services
,WHITE MS,7,South,,YS PLUS,Youth Services
,WHITE POINT EL,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,WILBUR CEA,4,North,,LA's Best,Youth Services
,WILLOW EL,5,East,,Youth Development Program,Youth Services
,WILMINGTON STEAM MAG,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,WILMINGTON PARK EL,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,WILSHIRE CREST EL,1,West,,LA's Best,Youth Services
,WILSHIRE PARK EL,1,West,,LA's Best,Youth Services
,WILSON SH,2,East,,Legacy LA,
,WILTON PL EL,1,West,Ready-Set-Go!,LA's Best,Youth Services
,WINDSOR HILLS EL MAGNET,1,West,,Youth Development Program,Youth Services
,WINNETKA AVE EL,3,North,,LA's Best,Youth Services
,WONDERLAND AVE EL,4,West,,STAR Education,Youth Services
,WOODCREST EL,1,South,,Woodcraft Rangers,Youth Services
,WOODLAKE ECC,3,North,,LA's Best,Youth Services
,WOODLAND HILLS ACAD,4,North,,Keep Youth Doing Something,Youth Services
,WOODLAND HILLS CES,4,North,,Boys & Girls Clubs of Carson,Youth Services
,WOODLAWN AVE EL,5,East,,Youth Development Program,Youth Services
,WRIGHT ENG DES MAGNET,4,West,,YS PLUS,Youth Services
,YES ACADEMY,1,South,,LA's Best,Youth Services
