,School Name,BD,Region,"Before SchoolGrant Program",After School Grant Program,Youth Services
,BRENTWOOD EL SCI MAGNET,4,West,,STAR Education,Youth Services
,BRIDGE ST EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
,BRIDGES SCHOOL,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,BRIGHT EL,1,West,,LA's Best,Youth Services
,BROAD AVE EL,7,South,Ready-Set-Go!,LA's Best,Youth Services
,BROADACRES AVE EL,7,South,,Youth Development Program,Youth Services
,BROADOUS EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,BROADWAY EL,4,West,,STAR Education,Youth Services
,BROCKTON AVE EL,4,West,,Woodcraft Rangers,Youth Services
,BROOKLYN SCHOOL,2,East,,Youth Development Program,Youth Services
,BRYSON AVE EL,5,East,,Woodcraft Rangers,Youth Services
,BUCHANAN ST EL,2,East,,LA's Best,Youth Services
,BUDLONG AVE EL,1,South,,Youth Development Program,Youth Services
,BURBANK BLVD EL,3,North,,LA's Best,Youth Services
,BURBANK MS A/T/C MAGNET,2,East,,YS PLUS,Youth Services
,BURROUGHS MS,1,West,,YS PLUS,Youth Services
,BURTON ST EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,BUSHNELL WAY EL,2,East,,LA's Best,Youth Services
,BYRD MS,6,North,,Keep Youth Doing Something,Youth Services
,CABRILLO AVE EL,7,South,,LA's Best,Youth Services
,CAHUENGA EL,5,West,,LA's Best,Youth Services
,CALABASH CA,3,North,,Boys & Girls Clubs of Carson,Youth Services
,CALAHAN ST EL,3,North,,Youth Development Program,Youth Services
,CALVERT CES,4,North,,Creative Brain Learning,Youth Services
,CAMELLIA AVE EL,6,North,,Youth Development Program,Youth Services
,CANFIELD AVE EL,1,West,,,Youth Services
,CANOGA PARK EL,3,North,Ready-Set-Go!,LA's Best,Youth Services
,CANOGA PARK SH,3,North,,Boys & Girls Clubs of Carson,
,CANTARA ST EL,3,North,,Youth Development Program,Youth Services
,CANTERBURY AVE EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,CANYON CEL,4,West,,STAR Education,Youth Services
,CAPISTRANO AVE EL,3,North,,Youth Development Program,Youth Services
,CARDENAS EL,3,North,,LA's Best,Youth Services
,CARNEGIE MS,7,South,,YS PLUS / L.A. Conservation Corps,Youth Services
,CAROLDALE LC,7,South,,Youth Development Program,Youth Services
,CARPENTER COMM CHTR,3,North,,STAR Education,Youth Services
,CARSON SH,7,South,,Boys & Girls Clubs of Carson,
,CARSON ST EL,7,South,,Youth Development Program,Youth Services
