CostCenterCode,LocationCode,CDSCode,School,Charter,SchoolYear,BeforeSchoolGrantProgram,AfterSchoolGeneralFundedPrograms,AfterSchoolGrantProgram
1586301,5863,19647336018543,116th St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1587701,5877,19647336018550,135th St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1588401,5884,19647336018568,112th St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1588701,5887,19647336018576,122nd St El,Traditional Schools,2021-2022,NA,Youth Services,Kids Protectors of the Environment
1588901,5889,19647336097927,Open Charter Mag,Affiliated Charters,2021-2022,NA,Youth Services,NA
1589401,5894,19647336018592,Osceola St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1590401,5904,19647336018618,Overland Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1591801,5918,19647336018626,Oxnard St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1595901,5959,19647336018634,Palisades CEl,Affiliated Charters,2021-2022,NA,Youth Services,NA
1597301,5973,19647336018642,Pacoima CEl,Independent,2021-2022,Ready-Set-Go!,NA,LA's BEST
1598601,5986,19647336018659,Palms El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1600501,6005,19647336018667,Park Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1601301,6013,19647336018675,Park Wstn Pl El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of LA Harbor
1602101,6021,19647336018683,Parmelee Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1602701,6027,19647336018691,Parthenia Ac Art Tec,Traditional Schools,2021-2022,NA,Youth Services,Keep Youth Doing Something
1605201,6052,19647336018709,Paseo del Rey El Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1606801,6068,19647336018717,Pinewood Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1608701,6087,19647330133603,GAL King Sch for STEM,Traditional Schools,2021-2022,NA,Youth Services,NA
1609601,6096,19647336018725,Plainview Academc CA,Affiliated Charters,2021-2022,NA,Youth Services,Woodcraft Rangers
1611001,6110,19647336018741,Playa Del Rey El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1612301,6123,19647336018758,Plummer El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1613701,6137,19647336018766,Pt Fermin El Mr/S Mg,Traditional Schools,2021-2022,NA,Youth Services,NA
1614001,6140,19647336018774,Pomelo Community CS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1614801,6148,19647336018790,President Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
